id,text,category,author,model,nation,gender,race,mean_sen_len,sentiment,TTR,lex_density,NN,VB,JJ
3446,"A soft strain of music sounded, and then at the back of the cave appeared a little figure in cloudy white, with glittering wings, golden hair, and a garland of roses on its head. Waving a wand, it sang...  Hither I come, From my airy home, Afar in the silver moon. Take the magic spell, And use it well, Or its power will vanish soon! And dropping a small, gilded bottle at the witchâ€™s feet, the spirit vanished. Another chant from Hagar produced another apparition, not a lovely one, for with a bang an ugly black imp appeared and, having croaked a reply, tossed a dark bottle at Hugo and disappeared with a mocking laugh.",authentic,alcott,authentic,American,female,white,23.2,-0.965357542037964,0.7192982456140351,0.5789473684210527,0.2719298245614035,0.0263157894736842,0.087719298245614
4429,"â€œThere is a demand for whisky, but I think you and I do not care to sell it. If the respectable people knew what harm they did, they would not feel that the living was honest. They haf no right to put poison in the sugarplum, and let the small ones eat it. No, they should think a little, and sweep mud in the street before they do this thing.â€  Mr. Bhaer spoke warmly, and walked to the fire, crumpling the paper in his hands. Jo sat still, looking as if the fire had come to her, for her cheeks burned long after the cocked hat had turned to smoke and gone harmlessly up the chimney. â€œI should like much to send all the rest after him,â€ muttered the Professor, coming back with a relieved air.",authentic,alcott,authentic,American,female,white,22.83333333333333,-0.3640365302562713,0.6893939393939394,0.5378787878787878,0.1287878787878787,0.0757575757575757,0.0606060606060606
7764,"I never lived out before: thatâ€™s the reason I made a fuss. Thereâ€™s a polish, for you, and Iâ€™m in a good humor again; so Mr. Stuart may call for his boots whenever he likes, and weâ€™ll go to dinner like fashionable people, as we are.â€  There was something so irresistible in the girlâ€™s hearty manner, that Hepsey submitted at once with a visible satisfaction, which gave a relish to Christieâ€™s dinner, though it was eaten at a kitchen table, with a bare-armed cook sitting opposite, and three rows of burnished dish-covers reflecting the dreadful spectacle. After this, Christie got on excellently, for she did her best, and found both pleasure and profit in her new employment. It gave her real satisfaction to keep the handsome rooms in order, to polish plate, and spread bountiful meals.",authentic,alcott,authentic,American,female,white,34.0,0.99750417470932,0.7301587301587301,0.5396825396825397,0.1984126984126984,0.0476190476190476,0.0873015873015873
751,"""Well, I warn you that you are trifling with the child's health, and depending too much on the seeming improvement she has made this year. She is a delicate creature for all that, and will drop away suddenly at the first serious attack, as her poor mother did,"" croaked Aunt Myra, with a despondent wag of the big bonnet. ""I'll risk it,"" answered Dr. Alec, knitting his brows, as he always did when any allusion was made to that other Rose. ""Mark my words, you will repent it,"" and, with that awful prophecy, Aunt Myra departed like a black shadow. Now it must be confessed that among the Doctor's failings--and he had his share--was a very masculine dislike of advice which was thrust upon him unasked.",authentic,alcott,authentic,American,female,white,26.6,-0.991689383983612,0.7401574803149606,0.5590551181102362,0.1653543307086614,0.0236220472440944,0.1023622047244094
125,"I restrain myself as long as I can, but when I can bear no more, my true self breaks loose, and I defy everything. I am tired of being a cold, calm machine; it is impossible with an ardent nature like mine, and I shall try no longer. I cannot help it if people love me. I don't want their love. I only ask to be left in peace, and why I am tormented so I cannot see. I've neither beauty, money, nor rank, yet every foolish boy mistakes my frank interest for something warmer, and makes me miserable. It is my misfortune. Think of me what you will, but beware of me in time, for against my will I may do you harm.""",authentic,alcott,authentic,American,female,white,16.0,-0.9763447046279908,0.6825396825396826,0.5952380952380952,0.1746031746031746,0.0952380952380952,0.1111111111111111
7223,"I never had any, and I'd love to try how it seems;"" and Celia took both the chubby hands in hers, feeling ready to love every one this first bright morning in the new home, which she hoped to make a very happy one. Bab gave a satisfied nod, and fell to examining the rings upon the white hand that held her own. But Betty put her arms about the new friend's neck, and kissed her so softly that the hungry feeling in Miss Celia's heart felt better directly; for this was the food it wanted, and Thorny had not learned yet to return one half of the affection he received.",authentic,alcott,authentic,American,female,white,38.0,0.9967318773269652,0.7207207207207207,0.5765765765765766,0.1351351351351351,0.054054054054054,0.1171171171171171
4205,"Sallie had urged her to do it, had offered to lend the money, and with the best intentions in life had tempted Meg beyond her strength. In an evil moment the shopman held up the lovely, shimmering folds, and said, â€œA bargain, I assure, you, maâ€™am.â€ She answered, â€œIâ€™ll take it,â€ and it was cut off and paid for, and Sallie had exulted, and she had laughed as if it were a thing of no consequence, and driven away, feeling as if she had stolen something, and the police were after her. When she got home, she tried to assuage the pangs of remorse by spreading forth the lovely silk, but it looked less silvery now, didnâ€™t become her, after all, and the words â€˜fifty dollarsâ€™ seemed stamped like a pattern down each breadth.",authentic,alcott,authentic,American,female,white,45.0,-0.980771780014038,0.671875,0.515625,0.125,0.0546875,0.0390625
8303,"When I found I had got to live, and live manfully, I said to myself, â€˜I must have help or I cannot do it.â€™ To no living soul could I tell my grief, not even to my mother, for she had her own to bear: no human being could help me, yet I must have help or give up shamefully. Then I did what others do when all else fails to sustain them; I turned to God: not humbly, not devoutly or trustfully, but doubtfully, bitterly, and rebelliously; for I said in my despairing heart, â€˜If there is a God, let Him help me, and I will believe.â€™ He did help me, and I kept my word.â€  â€œOh, David, how?â€ whispered Christie after a momentâ€™s silence, for the last words were solemn in their earnestness. â€œThe help did not come at once.",authentic,alcott,authentic,American,female,white,48.0,-0.9039934873580932,0.6222222222222222,0.6,0.1111111111111111,0.1333333333333333,0.0518518518518518
3082,"Don't add a lie to the theft, but confess frankly, and we will all try to help you make us forget and forgive.â€  He paused a moment, and one might have heard a pin drop, the room was so still; then slowly and impressively he put the question to each one, receiving the same answer in varying tones from all. Every face was flushed and excited, so that Mr. Bhaer could not take color as a witness, and some of the little boys were so frightened that they stammered over the two short words as if guilty, though it was evident that they could not be. When he came to Nat, his voice softened, for the poor lad looked so wretched, Mr. Bhaer felt for him.",authentic,alcott,authentic,American,female,white,42.333333333333336,0.945084810256958,0.7235772357723578,0.5203252032520326,0.1219512195121951,0.073170731707317,0.065040650406504
2978,"Hat off, hair flying, whip cracking, and barrow bumping, up they came in a cloud of dust, looking as wild a set of little hoydens as one would wish to see. â€œSo, these are the model children, are they? It's lucky I didn't bring Mrs. Curtis out to see your school for the cultivation of morals and manners; she would never have recovered from the shock of this spectacle,â€ said Mr. Laurie, laughing at Mrs. Jo's premature rejoicing over Nan's improvement. â€œLaugh away; I'll succeed yet. As you used to say at College, quoting some professor, 'Though the experiment has failed, the principle remains the same,'â€ said Mrs. Bhaer, joining in the merriment. â€œI'm afraid Nan's example is taking effect upon Daisy, instead of the other way. Look at my little princess! she has utterly forgotten her dignity, and is screaming like the rest.",authentic,alcott,authentic,American,female,white,19.125,-0.989700436592102,0.7573529411764706,0.6029411764705882,0.2279411764705882,0.0514705882352941,0.0808823529411764
6578,"Dr. Alec seldom spoke in this way, and when he did it was rather awful; for his indignation was of the righteous sort, and much thunder often rouses up a drowsy soul when sunshine has no effect. Rose liked it, and sincerely wished Aunt Clara had been there to get the benefit of the outbreak; for she needed just such an awakening from the self-indulgent dream in which she lived. ""Do it, and save Charlie before it is too late!"" she cried, kindling herself as she watched him; for he looked like a roused lion, as he walked about the room, with his hand clenched and a spark in his eye, evidently in desperate earnest, and ready to do almost any thing. ""Will you help?"" he asked, stopping suddenly, with a look that made her stand up straight and strong as she answered with an eager voice,--  ""I will.""",authentic,alcott,authentic,American,female,white,25.0,0.9935333728790284,0.7142857142857143,0.5238095238095238,0.1768707482993197,0.0340136054421768,0.0748299319727891
5484,"""There's plenty of folks to pick us up if anything happens; but perhaps it would be safer if I got out and sat with the man;"" and Tom quite beamed with the brilliancy of this sudden mode of relief. ""Oh, do, if you ain't afraid! Mother would be so anxious if anything should happen to me, so far away!"" cried Polly, much distressed. ""Don't you be worried. I'll manage the old chap, and the horses too;"" and opening the door, Tom vanished aloft, leaving poor victimized Polly to quake inside, while he placidly revelled in freedom and peanuts outside, with the staid old driver. Fanny came flying down to meet her ""darling Polly,"" as Tom presented her, with the graceful remark, ""I've got her!"" and the air of a dauntless hunter, producing the trophies of his skill.",authentic,alcott,authentic,American,female,white,17.75,0.9970259070396424,0.6861313868613139,0.6058394160583942,0.1532846715328467,0.0583941605839416,0.0875912408759124
8119,"There warnâ€™t a hard job that ever Iâ€™d hated but what grew easy when I remembered who it was done for; there warnâ€™t a trouble or a care that I wouldnâ€™t have welcomed hearty, nor one hour of them dear fractious babies that didnâ€™t seem precious when Iâ€™d gone and left â€™em. Iâ€™d got time to rest enough now, and might go pleasuring all day long; but I couldnâ€™t do it, and would have given a dozin bunnets trimmed to kill ef I could only have been back moilinâ€™ in my old kitchen with the children hanginâ€™ round me and Lisha a cominâ€™ in cheerful from his work as he used to â€™fore I spoilt his home for him.",authentic,alcott,authentic,American,female,white,59.5,-0.9822163581848145,0.7735849056603774,0.5377358490566038,0.1320754716981132,0.0660377358490566,0.0660377358490566
896,"At length the Queen came forth, and her subjects gathered round her, and while the flowers bowed their heads, and the trees hushed their rustling, the Fairies sang their morning hymn to the Father of birds and blossoms, who had made the earth so fair a home for them. Then they flew away to the gardens, and soon, high up among the tree-tops, or under the broad leaves, sat the Elves in little groups, taking their breakfast of fruit and pure fresh dew; while the bright-winged birds came fearlessly among them, pecking the same ripe berries, and dipping their little beaks in the same flower-cups, and the Fairies folded their arms lovingly about them, smoothed their soft bosoms, and gayly sang to them. â€œNow, little Eva,â€ said they, â€œyou will see that Fairies are not idle, wilful Spirits, as mortals believe.",authentic,alcott,authentic,American,female,white,47.333333333333336,0.9969496130943298,0.6617647058823529,0.5441176470588235,0.0955882352941176,0.0073529411764705,0.0955882352941176
5196,"Among the first persons I met on landing was a friend of your father's; he was just driving away in hot haste, but catching a glimpse of the familiar face, I bethought me that it was the season for summer travel, you might be away, and no one else would satisfy me; he might know, and time be saved. I asked one question, 'Where are the Yules?' He answered, as he vanished, 'The young people are all at the mountains.' That was enough, and congratulating myself on the forethought which would save me some hundred miles of needless delay, away I went, and for days have been searching for you every where on that side of these hills which I know so well.",authentic,alcott,authentic,American,female,white,31.0,-0.9865399599075316,0.6694214876033058,0.5454545454545454,0.1322314049586777,0.0413223140495867,0.0578512396694214
4840,"You shall see me at my best as at my worst; you shall know what I have learned to find in you; shall look back into the life behind us, forward into the life before us, and if there be any candor in you I will wring from you an acknowledgment that you have led me into an unrighteous compact. Unrighteous, because you have deceived me in yourself, appealed to the baser, not the nobler instincts in me, and on such a foundation there can be no abiding happiness."" ""Go on, I will hear you."" And conscious that she could not control the will now thoroughly aroused, Ottila bent before it as if meekly ready to hear all things for love's sake.",authentic,alcott,authentic,American,female,white,30.75,0.8714792132377625,0.6229508196721312,0.4262295081967213,0.1229508196721311,0.081967213114754,0.0327868852459016
7130,"""Yes, 'm, I'm coming, as fast as I can,"" answered a meek voice, as what appeared to be a bundle of rags leaped out of the dark, followed by the poodle, who immediately sat down at the bare feet of his owner with a watchful air, as if ready to assault any one who might approach too near. ""Now, then, who are you, and how did you get here?"" asked Mrs. Moss, trying to speak sternly, though her motherly eyes were already full of pity, as they rested on the forlorn little figure before her. CHAPTER III  BEN  ""Please, 'm, my name is Ben Brown, and I'm travellin'."" ""Where are you going?"" ""Anywheres to get work."" ""What sort of work can you do?"" ""All kinds. I'm used to horses."" ""Bless me! such a little chap as you?",authentic,alcott,authentic,American,female,white,12.727272727272728,0.4885773360729217,0.7238805970149254,0.5671641791044776,0.1343283582089552,0.0820895522388059,0.0895522388059701
380,"""I'm afraid I never can,"" said Rose; but she surveyed the cup with favor, for a funny little imp danced on the handle, as if all ready to take a header into the white sea below. ""Don't you think she ought to have something more strengthening than milk, Alec? I really shall feel anxious if she does not have a tonic of some sort,"" said Aunt Plenty, eying the new remedies suspiciously, for she had more faith in her old-fashioned doses than all the magic cups and poppy pillows of the East. ""Well, ma'am, I'm willing to give her a pill, if you think best. It is a very simple one, and very large quantities may be taken without harm. You know hasheesh is the extract of hemp? Well, this is a preparation of corn and rye, much used in old times, and I hope it will be again.""",authentic,alcott,authentic,American,female,white,21.714285714285715,0.7967205047607422,0.6938775510204082,0.5714285714285714,0.1768707482993197,0.0544217687074829,0.0952380952380952
3858,"Everything was arranged by the time Laurie returned with a note from Aunt March, enclosing the desired sum, and a few lines repeating what she had often said before, that she had always told them it was absurd for March to go into the army, always predicted that no good would come of it, and she hoped they would take her advice the next time. Mrs. March put the note in the fire, the money in her purse, and went on with her preparations, with her lips folded tightly in a way which Jo would have understood if she had been there. The short afternoon wore away. All other errands were done, and Meg and her mother busy at some necessary needlework, while Beth and Amy got tea, and Hannah finished her ironing with what she called a â€˜slap and a bangâ€™, but still Jo did not come.",authentic,alcott,authentic,American,female,white,37.0,-0.9981270432472228,0.6758620689655173,0.5448275862068965,0.1793103448275862,0.0413793103448275,0.0620689655172413
5264,"Glad to be away, Sylvia ran through the long grape walk to its sunniest nook, and standing outside the arch, began to lay the purple clusters in her basket. Only a moment was she there alone; Warwick's shadow, lengthened by the declining sun, soon fell black along the path. He did not see her, nor seem intent on following her; he walked slowly, hat in hand, so slowly that he was but midway down the leafy lane when Faith's voice arrested him. She was in haste, as her hurried step and almost breathless words betrayed; and losing not an instant, she cried before they met--  ""Adam, you will come with me? I cannot leave you here."" ""Do you doubt me, Faith?"" ""No; but loving women are so weak."" ""So strong, you mean; men are weakest when they love."" ""Adam, _will_ you come?""",authentic,alcott,authentic,American,female,white,16.22222222222222,-0.9904159903526306,0.7394366197183099,0.5845070422535211,0.1267605633802817,0.0422535211267605,0.0915492957746478
3271,"Mr. Bhaer put Rob down, and, standing up, put his arm round his tall nephew's shoulder, as he said, with a look of genuine pleasure,  â€œThis makes my hard day easier, and gives me confidence in you all. I am needed there in town, and must leave you for some hours. I thought to give you a holiday, or send some of you home, but if you like to stay and go on as you have begun, I shall be glad and proud of my good boys.â€  â€œWe'll stay;â€ â€œWe'd rather;â€ â€œFranz can see to us;â€ cried several, delighted with the confidence shown in them. â€œIsn't Marmar coming home?â€ asked Rob, wistfully; for home without â€œMarmarâ€ was the world without the sun to him.",authentic,alcott,authentic,American,female,white,33.0,0.998485803604126,0.7068965517241379,0.5258620689655172,0.146551724137931,0.0775862068965517,0.0775862068965517
7631,"No trouble in recognizing Ben, now; but somehow he didn't want to be seen, and, instead of staying to be praised, he soon slipped away, making Lita his excuse to vanish behind the curtain while the rest went into the house to have a finishing-off game of blindman's-buff in the big kitchen. ""Well, Ben, are you satisfied?"" asked Miss Celia, as she stayed a moment to unpin the remains of his gauzy scarf and tunic. ""Yes, 'm, thank you, it was tip-top."" ""But you look rather sober. Are you tired, or is it because you don't want to take these trappings off and be plain Ben again?"" she said, looking down into his face as he lifted it for her to free him from his gilded collar.",authentic,alcott,authentic,American,female,white,18.428571428571427,-0.956100583076477,0.6991869918699187,0.5284552845528455,0.1138211382113821,0.08130081300813,0.056910569105691
